
#ScanTableParameter1
&kV=40	&mA=40
&ScanAxis=M	&ScanMode=Stepscan	
&Start=10.000	&End=120.000	&Step=0.01000	&Time=4.0	&Counts=0
&Speed=0.1	&Area=0.0	&Accu=1
&NoAxis=5
&Axis=O	&Task=GetPosition	&Pos=20.66900	&Ampl=0.000	&Speed=0.0
&Axis=T	&Task=GetPosition	&Pos=21.00600	&Ampl=0.000	&Speed=0.0
&Axis=C	&Task=GetPosition	&Pos=-9.00000	&Ampl=0.000	&Speed=0.0
&Axis=P	&Task=GetPosition	&Pos=0.00000	&Ampl=0.000	&Speed=0.0
&Axis=AC	&Task=GetPosition	&Pos=1.00000	&Ampl=0.000	&Speed=0.0

#Values1
&NoValues=11001
  18.83000	    20.250	
  18.84000	    25.500	
  18.85000	    23.500	
  18.86000	    19.000	
  18.87000	    23.500	
  18.88000	    18.750	
  18.89000	    21.250	
  18.90000	    23.250	
  18.91000	    20.250	
  18.92000	    22.250	
  18.93000	    20.000	
  18.94000	    23.750	
  18.95000	    22.000	
  18.96000	    23.750	
  18.97000	    26.250	
  18.98000	    23.750	
  18.99000	    22.750	
  19.00000	    23.750	
  19.01000	    20.250	
  19.02000	    19.000	
  19.03000	    23.000	
  19.04000	    24.750	
  19.05000	    22.250	
  19.06000	    22.000	
  19.07000	    22.000	
  19.08000	    23.500	
  19.09000	    24.500	
  19.10000	    20.500	
  19.11000	    18.250	
  19.12000	    20.500	
  19.13000	    22.250	
  19.14000	    22.000	
  19.15000	    17.750	
  19.16000	    22.750	
  19.17000	    21.500	
  19.18000	    22.250	
  19.19000	    22.000	
  19.20000	    20.000	
  19.21000	    19.750	
  19.22000	    21.000	
  19.23000	    22.000	
  19.24000	    21.250	
  19.25000	    23.500	
  19.26000	    25.250	
  19.27000	    21.750	
  19.28000	    24.000	
  19.29000	    24.250	
  19.30000	    19.750	
  19.31000	    16.250	
  19.32000	    22.250	
  19.33000	    18.500	
  19.34000	    22.750	
  19.35000	    21.500	
  19.36000	    20.250	
  19.37000	    22.750	
  19.38000	    23.000	
  19.39000	    18.500	
  19.40000	    23.250	
  19.41000	    21.000	
  19.42000	    16.250	
  19.43000	    21.500	
  19.44000	    22.000	
  19.45000	    21.500	
  19.46000	    19.500	
  19.47000	    17.750	
  19.48000	    21.750	
  19.49000	    18.250	
  19.50000	    25.750	
  19.51000	    18.250	
  19.52000	    21.250	
  19.53000	    20.250	
  19.54000	    21.000	
  19.55000	    19.500	
  19.56000	    27.000	
  19.57000	    23.000	
  19.58000	    23.750	
  19.59000	    20.500	
  19.60000	    20.250	
  19.61000	    20.250	
  19.62000	    20.500	
  19.63000	    20.250	
  19.64000	    22.750	
  19.65000	    22.000	
  19.66000	    18.750	
  19.67000	    20.500	
  19.68000	    17.500	
  19.69000	    21.250	
  19.70000	    22.750	
  19.71000	    18.750	
  19.72000	    19.500	
  19.73000	    20.000	
  19.74000	    22.750	
  19.75000	    20.750	
  19.76000	    24.250	
  19.77000	    21.250	
  19.78000	    21.750	
  19.79000	    25.750	
  19.80000	    23.000	
  19.81000	    22.000	
  19.82000	    25.000	
